Product_Name,Product_Brand,Product_Price,Product_Image_Url,Product_Url
Smith Holt 2 Helmet,Smith,€ 7995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Smith-Holt+2+Helm-369334/
DEELUXE ID LTD. PF 2021,DEELUXE,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/DEELUXE-ID+LTD+PF+2021+Snowboardboots-615590/
K2 Maysis Clicker X HB Snowboard Boots 2021,K2,€ 5995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/K2-Maysis+Clicker+X+HB+Snowboard+Boots+2021-625070/
adidas Snowboarding Samba ADV 2021,adidas Snowboarding,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/adidas+Snowboarding-Samba+ADV+2021+Snowboardboots-626922/
Vans Standard MTE 2021,Vans,€ 42995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Vans-Standard+MTE+2021+Snowboardboots-628311/
Burton Cartel X 2021,Burton,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Cartel+X+2021+Snowboardbindung-622750/
Ride Hera 2021,Ride,€ 17995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Ride-Hera+2021+Snowboardboots-624731/
Union Contact Pro 2021,Union,€ 29995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Contact+Pro+2021+Snowboardbindung-618611/
Union Strata 2021,Union,€ 28995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Strata+2021+Snowboardbindung-618609/?colid=black
Jones Snowboards Snowboard Bindings 2021,Jones Snowboards,€ 21995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Jones+Snowboards-Apollo+Snowboard+Bindung+2021-629274/
